,1,2,3,4,5,6,7
1,1502,1497,1504,1501,1501,1502,1492
2,1501,1503,1500,1500,1500,1503,1500
3,1500,1500,1503,1500,1500,1504,1501
4,1500,1500,1502,1509,1500,1503,1500
5,2498,2498,2489,2500,2512,2507,2489
6,1500,1500,1499,1500,1500,1500,1500
7,1499,1500,1501,1500,1496,1500,1497
8,1500,1500,1500,1500,1500,1500,1499
9,1500,1500,1493,1500,1498,1509,1500
10,1500,1500,1492,1500,1500,1500,1487
11,1494,1500,1497,1495,1500,1501,1500
12,2494,2504,2500,2500,2501,2500,2500
13,1499,1500,1500,1500,1502,1500,1500
14,1498,1500,1497,1506,1490,1501,1500
15,1497,1500,1500,1502,1499,1503,1500
16,1496,1496,1499,1501,1502,1503,1500
17,1500,1500,1504,1503,1501,1502,1500
18,2500,2502,2503,2500,2500,2495,2500
