,1,2,3,4,5,6,7,8
1,0,0,188,0,0,987,248,0
2,6,63,202,280,53,1200,348,48
3,4,63,191,0,0,1100,349,0
4,0,0,187,0,0,1114,248,0
5,0,63,91,81,0,1255,241,0
6,99,300,300,203,0,1289,255,0
7,203,302,303,309,0,1200,248,0
8,0,63,404,0,0,1200,248,0
9,0,0,91,78,0,1211,349,0
10,0,0,90,0,0,1102,248,0
11,0,67,191,0,0,1213,236,0
12,1,68,89,81,0,1107,248,0
13,0,63,191,82,0,1197,245,0
14,0,0,89,0,0,800,248,0
15,0,0,191,0,0,1185,260,0
16,0,0,93,86,0,1199,247,0
17,0,0,191,81,0,1198,248,0
18,0,0,91,0,0,1198,348,0
19,1,0,191,81,0,1198,348,0
20,0,63,191,0,0,1098,248,0
21,0,0,191,0,0,1198,248,0
22,0,63,191,0,0,1198,348,0
23,1,0,91,0,0,1198,248,0
24,1,0,91,81,0,1198,348,0
