,1,2,3,4,5,6,7,8
1,204,367,488,280,150,1387,648,148
2,406,363,502,480,453,1600,648,248
3,304,363,391,289,255,1400,649,148
4,304,367,487,277,154,1414,648,255
5,205,263,491,381,156,1455,541,148
6,499,600,600,503,246,1589,555,249
7,503,602,703,609,255,1500,648,148
8,304,263,604,381,254,1500,548,280
9,204,379,391,278,154,1511,649,148
10,305,263,490,283,246,1502,548,248
11,304,267,391,281,255,1513,536,251
12,201,368,389,281,254,1407,548,148
13,200,263,491,282,254,1497,545,150
14,246,257,389,288,208,1100,548,248
15,206,365,391,381,159,1385,560,251
16,304,264,393,386,256,1499,647,247
17,201,263,491,381,155,1398,548,148
18,301,363,391,381,155,1398,548,148
19,301,363,491,381,155,1498,648,248
20,201,263,391,281,155,1498,648,248
21,201,363,491,381,255,1398,648,148
22,301,363,391,381,155,1398,648,248
23,201,363,491,281,255,1398,548,248
24,301,363,391,281,155,1498,548,148
