,1,2,3,4,5,6,7,8
1,580,610,620,640,670,690,580,580
2,190,200,230,270,310,320,190,190
3,210,240,250,270,280,320,210,210
4,700,720,750,760,780,790,700,700
5,210,220,230,260,300,340,210,210
6,190,200,230,260,270,290,190,190
7,240,260,280,320,360,380,240,240
8,830,840,870,900,930,940,830,830
9,680,720,740,760,770,810,680,680
10,630,670,710,720,760,800,630,630
11,720,740,750,760,770,800,720,720
12,710,730,740,780,800,820,710,710
13,290,300,320,360,370,390,290,290
14,230,270,280,300,340,360,230,230
15,600,620,650,660,700,720,600,600
16,860,880,910,940,950,980,860,860
17,570,600,620,660,690,720,570,570
18,500,510,540,570,610,620,500,500
19,650,670,680,700,710,730,650,650
20,310,320,350,390,400,410,310,310
21,790,830,870,910,950,970,790,790
22,840,860,890,910,930,970,840,840
23,900,910,920,930,940,970,900,900
24,450,470,500,530,550,580,450,450
